|FPP|Entry
0|a|a interj
1|a|a prep
2|a|a prep
3|A.|A., abb. n
4|a.|a., abb. n
5|ab|ab prep
6|abactius|abactius, abactia, abactium adj
7|abactor|abactor, abactoris n
8|abactus|abactus, abacta, abactum adj
9|abactus|abactus, abactus n
10|abaculus|abaculus, abaculi n
11|abacus|abacus, abaci n
12|abacus|abacus, abaci n
13|abaestuo|abaestuo, abaestuare, abaestuavi, abaestuatus v
14|abagmentum|abagmentum, abagmenti n
15|abalienatio|abalienatio, abalienationis n
16|abalienatus|abalienatus, abalienata, abalienatum adj
17|abalieno|abalieno, abalienare, abalienavi, abalienatus v
18|abalieno|abalieno, abalienare, abalienavi, abalienatus v
19|abambulo|abambulo, abambulare, abambulavi, abambulatus v
20|abamita|abamita, abamitae n
21|abante|abante adv
22|abante|abante prep
23|abarceo|abarceo, abarcere, -, - v
24|abascantus|abascantus, abascanta, abascantum adj
25|abavia|abavia, abaviae n
26|abavunculus|abavunculus, abavunculi n
27|abavus|abavus, abavi n
28|abax|abax, abacis n
29|Abba|Abba, undeclined n
30|abbas|abbas, abbatis n
31|abbatia|abbatia, abbatiae n
32|abbatialis|abbatialis, abbatialis, abbatiale adj
33|abbatissa|abbatissa, abbatissae n
34|abbatizo|abbatizo, abbatizare, -, - v
35|abbibo|abbibo, abbibere, abbibi, - v
36|abbito|abbito, abbitere, -, - v
37|abbreviatio|abbreviatio, abbreviationis n
38|abbreviator|abbreviator, abbreviatoris n
39|abbreviatus|abbreviatus, abbreviata, abbreviatum adj
40|abbrevio|abbrevio, abbreviare, abbreviavi, abbreviatus v
41|abbrocamentum|abbrocamentum, abbrocamenti n
42|abdicatio|abdicatio, abdicationis n
43|abdicative|abdicative adv
44|abdicativus|abdicativus, abdicativa, abdicativum adj
45|abdicatrix|abdicatrix, abdicatricis n
46|abdicatus|abdicatus, abdicati n
47|abdico|abdico, abdicare, abdicavi, abdicatus v
48|abdico|abdico, abdicere, abdixi, abdictus v
49|abdite|abdite adv
50|abditivus|abditivus, abditiva, abditivum adj
51|abditum|abditum, abditi n
52|abditus|abditus, abdita, abditum adj
53|abdo|abdo, abdere, abdidi, abditus v
54|abdomen|abdomen, abdominis n
55|abdominalis|abdominalis, abdominalis, abdominale adj
56|abduco|abduco, abducere, abduxi, abductus v
57|abductio|abductio, abductionis v
58|abecedaria|abecedaria, abecedariae n
59|abecedarium|abecedarium, abecedarii n
60|abecedarius|abecedarius, abecedaria, abecedarium adj
61|abecedarius|abecedarius, abecedarii n
62|abecetuorium|abecetuorium, abecetuorii n
63|abellana|abellana, abellanae n
64|abellanus|abellanus, abellana, abellanum adj
65|abeo|abeo, abire, abivi(ii), abitus v
66|abequito|abequito, abequitare, abequitavi, abequitatus v
67|aberceo|aberceo, abercere, -, - v
68|aberratio|aberratio, aberrationis n
69|aberro|aberro, aberrare, aberravi, aberratus v
70|abfero|abfero, abferre, -, - v
71|abfluo|abfluo, abfluere, abfluxi, - v
72|abfugio|abfugio, abfugere, abfugi, - v
73|abhibeo|abhibeo, abhibere, -, - v
74|abhinc|abhinc adv
75|abhorreo|abhorreo, abhorrere, abhorrui, - v
76|abhorresco|abhorresco, abhorrescere, abhorrui, - v
77|abhorride|abhorride adv
78|abhorridus|abhorridus, abhorrida, abhorridum adj
79|abicio|abicio, abicere, abjeci, abjectus v
80|abico|abico, abicere, -, - v
81|abiegneus|abiegneus, abiegnea, abiegneum adj
82|abiegnius|abiegnius, abiegnia, abiegnium adj
83|abiegnus|abiegnus, abiegna, abiegnum adj
84|abies|abies, abietis n
85|abietarius|abietarius, abietaria, abietarium adj
86|abietarius|abietarius, abietarii n
87|abiga|abiga, abigae n
88|abigeator|abigeator, abigeatoris n
89|abigeatus|abigeatus, abigeatus n
90|abigeus|abigeus, abigei n
91|abigo|abigo, abigere, abegi, abactus v
92|abigo|abigo, abigere, abegi, abactus v
93|abigo|abigo, abigere, abigi, abactus v
94|abigo|abigo, abigere, abigi, abactus v
95|abinde|abinde adv
96|abinvicem|abinvicem adv
97|abitio|abitio, abitionis n
98|abito|abito, abitare, abitavi, abitatus v
99|abitus|abitus, abitus n
100|abjecte|abjecte, abjectius, abjectissime adv
101|abjectio|abjectio, abjectionis n
102|abjecto|abjecto, abjectare, abjectavi, abjectatus v
103|abjectus|abjectus, abjecta adj
104|abjicio|abjicio, abjicere, abjeci, abjectus v
105|abjudicativus|abjudicativus, abjudicativa, abjudicativum adj
106|abjudico|abjudico, abjudicare, abjudicavi, abjudicatus v
107|abjugo|abjugo, abjugare, abjugavi, abjugatus v
108|abjungo|abjungo, abjungere, abjunxi, abjunctus v
109|abjuratio|abjuratio, abjurationis n
110|abjuratio|abjuratio, abjurationis n
111|abjurgo|abjurgo, abjurgare, abjurgavi, abjurgatus v
112|abjuro|abjuro, abjurare, abjuravi, abjuratus v
113|ablactatio|ablactatio, ablactationis n
114|ablacto|ablacto, ablactare, ablactavi, ablactatus v
115|ablacuo|ablacuo, ablacuare, ablacuavi, ablacuatus v
116|ablacuo|ablacuo, ablacuare, ablacuavi, ablacuatus v
117|ablaqueatio|ablaqueatio, ablaqueationis n
118|ablaqueo|ablaqueo, ablaqueare, ablaqueavi, ablaqueatus v
119|ablatio|ablatio, ablationis n
120|ablativus|ablativus, ablativa, ablativum adj
121|ablativus|ablativus, ablativi n
122|ablator|ablator, ablatoris n
123|ablegatio|ablegatio, ablegationis n
124|ablego|ablego, ablegare, ablegavi, ablegatus v
125|ablepsia|ablepsia, ablepsiae n
126|abligurio|abligurio, abligurire, abligurivi, abliguritus v
127|abligurrio|abligurrio, abligurrire, abligurrivi, abligurritus v
